smiles,dhodh_activity,rorgt_activity
C#CC(O)(c1ccc2nc(OC)c(Cc3ccc(C(F)(F)F)cc3)c(Cl)c2c1)C1CN(C(C)=O)C1,,1.0
C#CC(O)(c1ccc2nc(OC)c(Cc3ccc(C(F)(F)F)cc3)c(Cl)c2c1)c1cnc(C)n1C,,1.0
C#Cc1ccc2c(-c3ccc(C(=O)O)cc3)nn(C(=O)c3c(Cl)cccc3C(F)(F)F)c2c1,,1.0
C=C(C)C(O)CCC(C)=CCCC(C)=CCc1c(O)c(Cl)c(C)c(C=O)c1O,1.0,
C=C(C)CC1(C)C(=O)C(C#N)=CC2(C)c3nc(-c4ccnc5ccccc45)nc(-c4ccccc4F)c3CCC12,,1.0
C=C(C)Cn1c(Cc2ccc(C(F)(F)F)cc2)cc2cc(C(=O)NCc3ccc(S(=O)(=O)CC)cc3)cnc21,,1.0
C=C(C)c1cc(CN2CC3(C2)CN(S(C)(=O)=O)C3)ccc1-c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,,1.0
C=C(C)c1cccc(Cl)c1C(=O)n1nc(-c2ccc(C(=O)O)cc2F)c2ncccc21,,1.0
C=C(C)c1cn(-c2c(C)cccc2F)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1.0,
C=C(C)c1cn(-c2c(C)ccnc2OC)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1.0,
C=C(C)c1cn(-c2c(C)cnc(OC)c2C)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1.0,
C=C(C)c1cn(-c2c(C)cnc(OC)c2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1.0,
C=C(C)c1cn(-c2c(C)n[nH]c2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1.0,
C=C(C)c1cn(-c2c(Cl)cccc2Cl)c(=O)c2ccc(-n3nc(CO)n(CC)c3=O)cc12,1.0,
C=C(C)c1cn(-c2c(F)ccc(OC)c2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1.0,
