smiles,egfr_activity,met_activity
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4nc5ccccc5s4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,1.0,
O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,1.0,
COc1cc2c(cc1OC)Oc1ncnc(Oc3cccc(Br)c3)c1N(C)C2,1.0,
CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,1.0,
CCOc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1OC,1.0,
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,1.0,1.0
COc1ccccc1C(Cc1coc2nc(N)nc(N)c12)C(C)C,0.0,
O=C(c1cc2ccccc2[nH]1)c1cc2cc(O)ccc2[nH]1,1.0,
Nc1ncnc2c1c(-c1ccc(O)cc1)cn2C1CCNC1,1.0,
COc1cc2ncc(C(=O)O)c(Nc3ccc(F)c(Cl)c3)c2cc1OC,1.0,
Cc1ccc(C2CC(c3ccc(C)c(C)c3)=NN2C(N)=S)cc1,1.0,
Nc1nccc2scc(-c3ccc(NC(=O)Nc4ccccc4C(F)(F)F)cc3)c12,1.0,1.0
CC(C)(C)c1cc(C=C(C#N)C#N)cc(Br)c1O,0.0,1.0
CN(C)C/C=C/C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,1.0,
COc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,1.0,
CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN1CCOCC1,1.0,
COc1ccccc1C(Cc1coc2nc(N)nc(N)c12)C1CC1,0.0,
COc1ccc(C2=NN(c3nc(-c4ccc(Cl)cc4)cs3)C(c3ccc(C)cc3)C2)cc1,1.0,
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,1.0,
