smiles,gsk3b_activity,jnk3_activity
O=C1Nc2ccccc2C1=Cc1c(Cl)[nH]c2ccccc12,1.0,1.0
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1nc(N2CCNCC2)nc2ccccc12,1.0,1.0
O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCc1cc(nc(N3CCCC3)c1)CCCn1cc2c2ccccc21,1.0,1.0
CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)n[nH]c2c1,1.0,1.0
Cn1nc(N)c2cn(C3OC(CO)C(O)C3O)c3ncnc1c23,1.0,1.0
CN(C(Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1)C(=O)N1CCN(c2ccccc2)CC1)S(=O)(=O)c1cccc2cnccc12,1.0,1.0
NCCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,1.0,1.0
O=C(Nc1cccc(Nc2cc(Nc3cccc(C(F)(F)F)c3)ncn2)c1)C1CC1,1.0,1.0
N#CC(=Cc1ccc(O)c(O)c1)C(=O)NCc1ccccc1,1.0,1.0
O=S(=O)(NCCNCC=Cc1ccc(Br)cc1)c1cccc2cnccc12,1.0,1.0
COc1cc(OC)c(C=C2C(=O)Nc3ccccc32)c(OC)c1,1.0,1.0
C=S(O)(O)=CCCOc1cccc2c1ccn2-c1ccnc(NC2CCC(C(=O)N3CCC(O)CC3)CC2)n1,1.0,1.0
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,1.0,1.0
COc1cc2c(cc1Cl)C(c1cccc(Cl)c1)=NCC2,1.0,1.0
O=C(CCCc1ccc(-c2ccccc2F)cc1)Nc1ccc(O)cc1,1.0,1.0
Nc1n[nH]c2nc3ccccc3nc12,1.0,1.0
NC(=O)c1ccc(-c2nc(-c3ccc4c(c3)OCO4)c(-c3ccccn3)[nH]2)cc1,1.0,1.0
CC(C)Nc1cc(-c2oc3ccccc3c(=O)c2-c2ccc(F)cc2)ccn1,1.0,1.0
CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1.0,1.0
CN(C)c1cc2cc(n1)CCCn1cc(c3ccccc31)C1=C(C(=O)NC1=O)c1cn(c3ccccc13)CCC2,1.0,1.0
Nc1ccc2ncnc(NCCc3ccc(Oc4ccccc4)cc3)c2c1,1.0,1.0
O=c1cc(N2CCNCC2)oc2c(-c3ccccc3)cccc12,1.0,1.0
COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,1.0,1.0
CN(C)S(=O)(=O)c1ccc2[nH]c(O)c(Cc3cc4c([nH]3)=CCCC=4)c2c1,1.0,1.0
COc1cc2ncc(-c3ccccc3)nc2cc1OC,1.0,1.0
CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc21,1.0,1.0
CCC(CO)Nc1nc(N=C(N)N)c2ncn(C(C)C)c2n1,1.0,1.0
Nc1ncnc2[nH]nc(Nc3ccc(F)cc3)c12,1.0,1.0
CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1Cl,1.0,1.0
CCOC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccccc32)c1C,1.0,1.0
O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,1.0,1.0
CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,1.0,1.0
O=c1c(-c2ccc(F)cc2)c(-c2ccnc(NC3CCCCC3)c2)oc2ccccc12,1.0,1.0
O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,1.0,1.0
CC(C)(O)c1ccc(-c2cnc3c(n2)N(CC2CCOCC2)CC(=O)N3)cn1,1.0,1.0
CC(N)C1CCC(C(=O)Nc2ccncc2)CC1,1.0,1.0
CN(C)c1nc2ccc1CCCn1cc(c3ccccc31)C1=C(C(=O)NC1=O)c1cn(c3ccccc13)CC2,1.0,1.0
COc1cc2nccc(Oc3ccc(NC(=S)NC(=O)c4ccccc4C)cc3)c2cc1OC,1.0,1.0
COc1cc(-c2ccc3c(c2)NC(=O)c2ccc(-c4ccccc4NS(C)(=O)=O)cc2N3)cc(OC)c1OC,1.0,1.0
CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,1.0,1.0
OC1CCC(c2[nH]ncc2-c2ccnc(NC3CCCC3)n2)CC1,1.0,1.0
O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,1.0,1.0
NCCNc1ncc(C(N)=O)c(Nc2cccc(C(F)(F)F)c2)n1,1.0,1.0
CC(C)N(CCC(=O)c1ccc2ccccc2c1)Cc1ccccc1,1.0,1.0
