smiles,reagent_id,dhodh_activity,rorgt_activity,ds_1,ds_2
O=Cc1ccccn1,15,0.3858086764812469,0.5626748204231262,-5.2,-4.6
O=C1CCCCc2ccccc21,16,0.3863049149513244,0.5749477744102478,-8.1,-7.1
O=C1CCCC(=O)C1,19,0.4208967089653015,0.5297679305076599,-5.6,-4.8
CC(C)N,20,0.4437108933925628,0.5675373077392578,-2.9,-2.8
O=Cc1cccnc1,24,0.3870841860771179,0.5643892288208008,-5.5,-4.8
Cc1cc(N)[nH]n1,26,0.3826604783535003,0.5751899480819702,-4.7,-4.1
Nc1ccc2c(c1)OCO2,27,0.3820523023605346,0.5785850286483765,-6.2,-5.3
N#Cc1ccccn1,33,0.3953946232795715,0.5605656504631042,-5.0,-4.5
CC(=O)O,34,0.4312086105346679,0.519744873046875,-3.3,-2.9
O=S(=O)(Cl)c1ccc(Cl)cc1,38,0.4064649045467376,0.5759979486465454,-6.0,-6.0
O=C(O)c1ccccc1[N+](=O)[O-],58,0.3925498425960541,0.567864716053009,-6.8,-6.0
Fc1ccccc1CCl,59,0.3977559506893158,0.5653389692306519,-6.1,-5.6
O=[N+]([O-])c1ccc(S(=O)(=O)Cl)cc1,60,0.4089438617229461,0.5771451592445374,-6.5,-6.4
CC1CCCC(C)N1N,66,0.4214172959327698,0.5762337446212769,-5.3,-5.1
NNc1ccc2ccccc2c1,70,0.3624689280986786,0.5796356201171875,-7.4,-7.2
Cc1cc(C)nc(NN)n1,74,0.3982290923595428,0.5677151083946228,-5.9,-5.5
Nc1nc2ccccc2[nH]1,79,0.3510206341743469,0.5843020081520081,-6.3,-5.7
Nc1ccc2c(c1)OCCO2,80,0.3913622796535492,0.573965847492218,-6.3,-5.7
Cc1ccc(C)c(N)c1,82,0.3890350759029388,0.5781528949737549,-5.7,-5.8
Nc1ccc(S(N)(=O)=O)cc1,89,0.4015355706214905,0.585060179233551,-5.7,-5.8
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,92,0.3804845213890075,0.592671811580658,-7.2,-7.5
Nc1ncccn1,93,0.3763907253742218,0.5681171417236328,-4.7,-4.0
Cc1ccc(S(=O)(=O)Nc2ccc(N)cc2)cc1,96,0.3909909725189209,0.5880666375160217,-7.9,-7.8
C1CCNCCCCCNCCCCCNCC1,100,0.4149839282035827,0.5726489424705505,-6.5,-4.8
CC1Cc2ccccc2N1,101,0.3811695873737335,0.5934167504310608,-6.5,-6.0
c1ccc2c(c1)CCCN2,102,0.3831108510494232,0.5874525308609009,-6.5,-6.1
NCc1ccc2c(c1)OCO2,105,0.394475370645523,0.574353039264679,-6.2,-5.7
Nc1nnc[nH]1,107,0.3737336099147796,0.5663452744483948,-4.3,-4.2
N#Cc1ccc(N)c(N)c1,108,0.3947252929210663,0.58443683385849,-5.7,-5.4
NNC(=O)c1ccc([N+](=O)[O-])cc1,113,0.4047268033027649,0.5752013921737671,-6.9,-6.3
C1CCCNCC1,115,0.413247138261795,0.5718977451324463,-4.8,-4.5
CN1CCNCC1,116,0.4255099892616272,0.5684045553207397,-4.3,-3.7
CCC(C)N,123,0.437533974647522,0.566084623336792,-3.6,-3.2
NNc1ccc([N+](=O)[O-])cc1,124,0.4034444689750671,0.5747791528701782,-7.2,-5.6
CN(C)c1cccc(N)c1,126,0.3939360082149505,0.5844536423683167,-6.1,-5.2
c1ccc2c(c1)CCNC2,127,0.386626660823822,0.5897141098976135,-6.3,-6.1
CCCCCN,128,0.4367172420024872,0.5584520101547241,-3.9,-3.7
Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,130,0.3497912287712097,0.5831013321876526,-8.5,-8.7
NCc1ccc(Cl)cc1,134,0.399527758359909,0.5729004144668579,-5.4,-5.4
CC1CNCC(C)O1,135,0.4297606348991394,0.575282633304596,-4.8,-4.6
NNC(=O)c1cccc([N+](=O)[O-])c1,137,0.4027932584285736,0.5737351775169373,-7.1,-6.5
Nc1nncs1,142,0.3684131205081939,0.5577686429023743,-4.2,-4.0
CCN1CCNCC1,146,0.4291629493236542,0.5755621194839478,-4.4,-4.0
CCC1CCCCN1,148,0.4136832654476166,0.5834517478942871,-5.1,-4.7
C1CCNC1,152,0.417508453130722,0.5736026167869568,-3.6,-3.2
NC1CCCCC1,155,0.3983815014362335,0.5729613304138184,-5.0,-4.5
Cc1ccnc(N)c1,158,0.3849479854106903,0.5697940587997437,-5.2,-4.9
Cc1cccnc1N,159,0.3895555436611175,0.5759376287460327,-5.5,-4.9
Nc1ccccc1,174,0.3755137920379638,0.5725952386856079,-5.2,-4.6
Nc1ccccc1Br,181,0.3851164579391479,0.575637936592102,-5.2,-4.9
Nc1ccc(Br)cc1,182,0.3811578154563904,0.5755496025085449,-5.3,-5.1
Nc1cccc(Br)c1,183,0.3827540576457977,0.5711858868598938,-5.5,-5.0
Cc1cccc(N)c1,188,0.3821745812892914,0.5733140110969543,-5.7,-5.2
Cc1ccccc1N,190,0.3856002986431122,0.5786325335502625,-5.5,-5.1
COc1cccc(N)c1,191,0.3917437493801117,0.5724287629127502,-5.6,-4.8
COc1ccccc1N,192,0.3950226306915283,0.5758290886878967,-5.6,-5.1
Cc1cccc(N)c1C,193,0.3939409255981445,0.5735651254653931,-5.7,-5.7
Cc1ccc(N)c(C)c1,194,0.3900197744369507,0.5793985724449158,-5.9,-5.9
Cc1ccc(N)cc1C,195,0.3907670080661773,0.5752201676368713,-5.9,-5.8
Nc1ccc(F)cc1,196,0.3821533918380737,0.571771502494812,-5.5,-4.9
Nc1cccc([N+](=O)[O-])c1,198,0.3880991637706756,0.5755284428596497,-6.1,-5.5
Nc1ccccc1[N+](=O)[O-],199,0.3908681273460388,0.5735770463943481,-6.0,-5.4
Nc1c(Cl)cccc1Cl,200,0.398943692445755,0.573285698890686,-5.6,-5.1
Nc1ccccc1Cl,201,0.3902351558208465,0.5747919678688049,-5.3,-4.9
