smiles,reagent_id,EGFR_activity,MET_activity,ds_1,ds_2
O=Cc1ccccn1,15,0.4392043575644493,0.6365863442420959,-4.1,-4.6
O=C1CCCCc2ccccc21,16,0.2884529739618301,0.4849160820245742,-6.2,-7.1
CC(C)N,20,0.292460083309561,0.6349234558641911,-3.0,-3.6
O=Cc1cccs1,22,0.4520595595240593,0.5866281777620316,-3.6,-4.0
O=Cc1cccnc1,24,0.2996083334088325,0.7951174736022949,-4.1,-4.4
Cc1cc(N)[nH]n1,26,0.7075145214796066,0.7361774981021881,-4.4,-5.0
Nc1ccc2c(c1)OCO2,27,0.2172638619318604,0.7281749367713928,-5.8,-5.5
N#Cc1ccccn1,33,0.150337210856378,0.5673209935426712,-4.2,-4.5
CC(=O)O,34,0.012171913550992,0.153976037655957,-2.5,-3.1
O=C(O)c1cc(F)c(F)c(F)c1F,37,0.756015008687973,0.999770611524582,-6.1,-6.8
O=S(=O)(Cl)c1ccc(Cl)cc1,38,0.0647355630528181,0.633327865600586,-5.2,-5.8
SC1=NCCS1,47,0.6650981478393078,0.8378002315759658,-3.0,-3.0
O=C(O)c1ccccc1[N+](=O)[O-],58,0.0665999924764037,0.2390452444553375,-5.4,-5.9
Fc1ccccc1CCl,59,0.3843728691339493,0.9777071297168732,-5.2,-5.7
O=[N+]([O-])c1ccc(S(=O)(=O)Cl)cc1,60,0.0728358155349269,0.5126499012112617,-5.5,-6.1
NNc1ccc2ccccc2c1,70,0.9509246826171877,0.8240667104721069,-6.6,-7.0
Nc1nc2ccccc2[nH]1,79,0.1404745928943157,0.5734915226697922,-5.9,-5.9
Nc1ccc2c(c1)OCCO2,80,0.3325366575270891,0.9354636251926424,-5.8,-5.9
Cc1ccc(C)c(N)c1,82,0.6502784609794616,0.6653495103120803,-5.4,-5.8
Nc1ccc(S(N)(=O)=O)cc1,89,0.1699530577287077,0.9020118355751038,-6.0,-5.4
Nc1ncccn1,93,0.2948191352188587,0.4996141970157623,-4.3,-4.3
O=C1c2ccccc2-c2n[nH]c3cccc1c23,95,0.4986009806394577,0.7447827339172364,-8.4,-8.9
C1CCNCCCCCNCCCCCNCC1,100,0.1423617153777741,0.6272601336240768,-6.8,-0.8
c1ccc2c(c1)CCCN2,102,0.6381095677614212,0.8967534065246582,-5.7,-6.2
CCOc1ccc(N)c([N+](=O)[O-])c1,104,0.4751384481787681,0.9129549443721772,-5.6,-5.8
NCc1ccc2c(c1)OCO2,105,0.5932970732450485,0.9920012772083282,-5.6,-5.8
COc1ccc(N)c([N+](=O)[O-])c1,106,0.3228545561432838,0.6167034775018692,-5.3,-5.6
N#Cc1ccc(N)c(N)c1,108,0.3176137335598469,0.6570808708667755,-5.0,-5.5
N#Cc1ccc(N)c([N+](=O)[O-])c1,109,0.1500673647969961,0.5637286156415939,-5.4,-5.5
NNC(=O)c1ccc([N+](=O)[O-])cc1,113,0.4700263947248458,0.6181842297315597,-6.3,-6.5
C1CCCNCC1,115,0.1437970645260065,0.5019422404468059,-4.3,-4.5
CN1CCNCC1,116,0.2088343002833426,0.3242569157853722,-3.8,-3.8
NNC(=O)c1ccc2ccccc2n1,117,0.9297952711582184,0.8546395480632782,-7.5,-7.4
Nc1c(C(=O)O)ccc2c1C(=O)c1ccccc1C2=O,121,0.0671865811571478,0.2440698154270649,-8.7,-7.7
CCC(C)N,123,0.4658506955951452,0.9230878710746764,-3.5,-4.4
NNc1ccc([N+](=O)[O-])cc1,124,0.1822718188166618,0.8847409427165985,-5.6,-5.6
CN(C)c1cccc(N)c1,126,0.6141819298267365,0.7531164675951004,-5.5,-5.6
c1ccc2c(c1)CCNC2,127,0.6881390959024429,0.9595622956752776,-5.9,-6.5
CCCCCN,128,0.134873242676258,0.6661197066307067,-3.7,-4.5
NCCCCN,133,0.1652855555061251,0.8936069905757904,-3.7,-4.4
NCc1ccc(Cl)cc1,134,0.8541058242321015,0.9945352435112,-5.2,-5.3
CC1CNCC(C)O1,135,0.0711983480141498,0.8172935724258423,-4.5,-4.5
NNC(=O)c1cccc([N+](=O)[O-])c1,137,0.3627577468752861,0.6392362922430038,-6.4,-6.5
CCN1CCNCC1,146,0.1854341422207653,0.4193546442314982,-4.5,-4.2
C1CCNC1,152,0.1100914284455939,0.5739015862345695,-3.2,-3.9
NC1CCCCC1,155,0.4861230216920376,0.6092252120375633,-4.7,-4.9
Cc1ccnc(N)c1,158,0.5105409860610962,0.6839513123035431,-4.8,-4.9
Cc1cccnc1N,159,0.44663255661726,0.6965809613466263,-5.0,-5.3
Nc1nc(-c2ccccc2)cs1,169,0.3859751060605049,0.6484248012304306,-6.1,-6.9
NNC(=O)c1ccccc1Br,171,0.6866948485374451,0.6935239732265472,-6.2,-6.1
Nc1ccccc1,174,0.3005168661475181,0.3116491079330444,-4.9,-5.0
Nc1ccccc1Br,181,0.4330703124403953,0.7070743680000305,-4.8,-5.0
Nc1ccc(Br)cc1,182,0.3389813937246799,0.6071833729743957,-5.3,-5.0
Nc1cccc(Br)c1,183,0.604931315779686,0.7407449871301651,-5.2,-5.2
Cc1cccc(N)c1,188,0.4919644519686699,0.4979592472314834,-5.3,-5.4
Cc1ccccc1N,190,0.5827242136001587,0.552479836344719,-5.2,-5.4
COc1cccc(N)c1,191,0.4416000634431839,0.5375122159719468,-5.2,-5.2
COc1ccccc1N,192,0.2565207004547119,0.3433683350682258,-5.2,-5.4
Cc1cccc(N)c1C,193,0.7050694704055787,0.7635771036148071,-5.7,-6.0
Cc1ccc(N)c(C)c1,194,0.5533901035785675,0.618036738038063,-5.9,-5.8
Cc1ccc(N)cc1C,195,0.6531516700983048,0.7191855877637863,-6.0,-5.9
Nc1ccc(F)cc1,196,0.4169065915048122,0.8034408211708068,-5.2,-5.4
Nc1cccc([N+](=O)[O-])c1,198,0.1591314071789384,0.5162241205573082,-5.5,-5.6
Nc1ccccc1[N+](=O)[O-],199,0.1963605966418981,0.4494036316871643,-5.1,-5.7
Nc1c(Cl)cccc1Cl,200,0.8346155911684037,0.9952746868133544,-5.0,-5.1
Nc1ccccc1Cl,201,0.6052541941404342,0.8752052426338196,-4.9,-5.2
Cc1ccc(N)cc1[N+](=O)[O-],205,0.2444854333996772,0.527869701385498,-6.0,-5.7
Cc1ccc([N+](=O)[O-])cc1N,206,0.3041703786700964,0.6273675829172134,-5.6,-6.1
Nc1ccc(Cl)c(Cl)c1,209,0.6402769982814789,0.991885107755661,-5.8,-5.4
Nc1ccc([N+](=O)[O-])cc1,210,0.1764527425169944,0.4797040864825249,-5.6,-5.5
Cc1cc(C)c(N)c(C)c1,211,0.3800197120755911,0.6412280663847924,-5.4,-6.2
Nc1ccccc1N,213,0.531064723432064,0.4666174218058586,-5.0,-5.0
Cc1ccc(N)cc1,214,0.4023768030107021,0.4519037008285522,-5.6,-5.5
Nc1cc(Cl)ccc1Cl,216,0.6005420386791229,0.9768850326538084,-5.1,-5.4
Nc1cccc(Cl)c1,218,0.4692889258265495,0.7939880728721619,-5.2,-5.2
Nc1cccc(F)c1,219,0.5889516144990921,0.8897184371948242,-5.1,-5.2
CSc1cccc(N)c1,222,0.7306912660598754,0.9289663136005402,-5.1,-5.2
Cc1ccc(N)cc1Cl,224,0.580265411734581,0.942626678943634,-5.9,-5.6
Nc1cccc2ccccc12,225,0.4897159397602081,0.2889409869909286,-6.6,-6.8
Nc1ccc2ccccc2c1,226,0.6831487596035004,0.3812518194317817,-6.3,-6.8
Nc1cccc(S(N)(=O)=O)c1,230,0.2179664477705955,0.919787347316742,-6.0,-5.9
Nc1ccc(Cl)cc1,231,0.3322740271687507,0.6905074954032898,-5.5,-5.2
Nc1ccccc1I,232,0.6440179824829102,0.8190460234880448,-4.9,-5.0
OC1CCCCCCC1,233,0.4712910480797291,0.3627941155806183,-5.6,-5.9
Nc1ccccc1C(F)(F)F,234,0.4949875742197037,0.6632822453975677,-5.7,-6.3
Nc1cccc(C(F)(F)F)c1,236,0.2675805132836103,0.7230800569057465,-6.0,-6.4
Nc1nccs1,239,0.4090243235230446,0.6035638749599457,-3.8,-3.7
Clc1ccccn1,242,0.3659576006233692,0.823506098985672,-4.2,-4.6
Brc1cccnc1,243,0.5303952932357788,0.9066073954105376,-4.0,-4.2
