smiles,reagent_id,gsk3b_activity,jnk3_activity,ds_1,ds_2
O=Cc1ccccn1,15,0.0001095912703805,0.0010498349425705,-4.5,-4.6
O=C1CCCCc2ccccc21,16,0.0001731518275656,1.1724456410832632e-05,-6.8,-7.4
O=C1CCCC(=O)C1,19,1.6418893263249594e-05,6.658309636869106e-08,-4.5,-5.1
CC(C)N,20,1.378167214648698e-06,5.356346814324817e-08,-2.6,-2.7
O=Cc1cccs1,22,0.0018892942847808,0.0001919704019828,-3.9,-4.0
O=Cc1cccnc1,24,1.5210960523644746e-05,9.60410110294055e-07,-4.5,-4.6
Cc1cc(N)[nH]n1,26,0.2788882839493453,0.000741782542718,-4.0,-4.1
Nc1ccc2c(c1)OCO2,27,0.0014409341554596,2.6392766578866744e-05,-5.2,-5.3
N#Cc1ccccn1,33,0.0151843092717069,3.570581041755956e-05,-4.4,-4.4
CC(=O)O,34,0.0703773278590944,0.0012838922878726,-2.5,-2.6
O=S(=O)(Cl)c1ccc(Cl)cc1,38,0.0017578519125578,0.0176190481768117,-5.7,-6.0
O=S(=O)(Cl)c1ccc(Br)cc1,39,0.0016889736666456,0.0176523366164474,-5.7,-6.0
O=C(O)c1n[nH]c(=O)c2ccccc12,46,0.02554656145572,0.0614225540158258,-7.1,-7.4
SC1=NCCS1,47,0.0001152822999472,0.0001544978150072,-2.9,-2.9
CC(C)(CN)CN,57,0.0003641601768882,0.0011619861205576,-3.4,-3.2
O=C(O)c1ccccc1[N+](=O)[O-],58,0.0002518494536469,0.0017985331880099,-5.7,-6.1
Fc1ccccc1CCl,59,4.344748174497697e-05,0.0001154636580008,-5.3,-5.4
O=[N+]([O-])c1ccc(S(=O)(=O)Cl)cc1,60,0.0018195883311818,0.0308064384900717,-6.1,-6.4
NNc1ccc2ccccc2c1,70,0.0455339195890701,0.2111862414050847,-7.0,-7.1
Nc1ccc2c(c1)OCCO2,80,0.0003154862718191,1.0865469536006526e-05,-5.6,-5.7
Cc1ccc(C)c(N)c1,82,5.525611669892072e-05,1.5344156818869355e-06,-5.7,-5.7
Nc1ccc(S(N)(=O)=O)cc1,89,0.0070952168061296,0.0003828072296766,-5.5,-5.5
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,92,0.0085152768702755,0.0001281221236085,-7.6,-7.7
Nc1ncccn1,93,6.922072280888224e-07,1.1844059112336202e-08,-3.8,-4.0
O=C1c2ccccc2-c2n[nH]c3cccc1c23,95,0.950919395685196,0.888014167547226,-9.5,-9.3
O=C(O)c1ccccc1NS(=O)(=O)c1cccs1,98,0.000109914822562,0.0003334131576942,-6.9,-7.3
Nn1cnnc1,99,3.1125248257313143e-10,2.702084044321009e-12,-3.1,-3.2
