smiles,reagent_id,PIK3CA_activity,MTOR_activity,ds_1,ds_2
O=Cc1ccccn1,15,0.1723068635910749,0.964712780714035,-4.7,-4.8
O=C1CCCCc2ccccc21,16,0.5503268808126449,0.9516618013381958,-7.5,-7.4
O=C1CCCC(=O)C1,19,0.9052549958229064,0.8527974665164948,-4.9,-5.1
CC(C)N,20,0.5741987966001034,0.999419766664505,-3.3,-3.1
O=Cc1cccnc1,24,0.7572253406047821,0.9630402028560638,-4.7,-4.7
Cc1cc(N)[nH]n1,26,0.9974822580814362,0.9818893134593965,-4.3,-4.4
Nc1ccc2c(c1)OCO2,27,0.4709898620843887,0.9886085748672484,-5.3,-5.6
N#Cc1ccccn1,33,0.3151993742212653,0.8558976709842682,-4.7,-4.8
CC(=O)O,34,0.035135179257486,0.7814724951982498,-2.5,-2.9
O=S(=O)(Cl)c1ccc(Cl)cc1,38,0.8359544992446899,0.9317887604236604,-5.8,-6.0
O=S(=O)(Cl)c1ccc(Br)cc1,39,0.9158808588981628,0.9248898983001708,-5.8,-5.7
SC1=NCCS1,47,0.9416796088218689,0.9993111610412596,-2.9,-3.3
O=C(O)c1ccccc1[N+](=O)[O-],58,0.0325630428269505,0.8199774026870728,-6.1,-6.0
Fc1ccccc1CCl,59,0.9743609130382538,0.90214541554451,-5.8,-5.8
O=[N+]([O-])c1ccc(S(=O)(=O)Cl)cc1,60,0.3537877134978771,0.8629723846912384,-6.0,-6.0
CC1CCCC(C)N1N,66,0.9390838027000428,0.9991240084171296,-5.5,-5.0
NNc1ccc2ccccc2c1,70,0.0668198391795158,0.9890310108661652,-7.0,-6.9
Nc1nc2ccccc2[nH]1,79,0.1471350476145744,0.9976645350456238,-5.9,-6.3
Nc1ccc2c(c1)OCCO2,80,0.9053789973258972,0.9814699470996856,-5.6,-5.9
COc1ccc2nc(N)sc2c1,87,0.4944005310535431,0.969867956638336,-5.6,-5.8
Nc1ccc(S(N)(=O)=O)cc1,89,0.978396600484848,0.9967309176921844,-5.6,-5.7
COc1ccc([N+](=O)[O-])cc1N,90,0.1755487643182277,0.7565148293972015,-5.4,-5.4
Nc1ncccn1,93,0.5283153265714645,0.9945111572742462,-4.0,-4.1
O=C1c2ccccc2-c2n[nH]c3cccc1c23,95,0.9402785241603852,0.9730528295040132,-8.5,-9.3
C1CCNCCCCCNCCCCCNCC1,100,0.826119190454483,0.9524329960346222,-5.0,-7.4
CC1Cc2ccccc2N1,101,0.621082466840744,0.9912728428840636,-6.5,-6.5
c1ccc2c(c1)CCCN2,102,0.1397330813109874,0.985231238603592,-6.7,-6.5
NCc1ccc2c(c1)OCO2,105,0.3900312758982182,0.9740966498851776,-5.5,-5.5
N#Cc1ccc(N)c(N)c1,108,0.1169984959065914,0.7331993639469147,-5.2,-5.1
NNC(=O)c1ccc([N+](=O)[O-])cc1,113,0.1055339466780424,0.7461557924747467,-6.0,-6.1
C1CCCNCC1,115,0.8179403781890869,0.9363660037517548,-4.9,-4.8
CN1CCNCC1,116,0.9875153243541718,0.9992063105106354,-3.6,-3.8
NNC(=O)c1ccc2ccccc2n1,117,0.419584159553051,0.9225160002708436,-7.2,-7.3
Nc1c(C(=O)O)ccc2c1C(=O)c1ccccc1C2=O,121,0.8790927588939667,0.9422280013561248,-7.3,-9.2
CCC(C)N,123,0.4688513344153762,0.9999124467372894,-3.7,-3.8
NNc1ccc([N+](=O)[O-])cc1,124,0.2962921164929867,0.9381272196769714,-5.5,-5.2
CN(C)c1cccc(N)c1,126,0.9266658008098604,0.915736848115921,-5.4,-5.6
c1ccc2c(c1)CCNC2,127,0.4832740366458893,0.9836398661136628,-6.5,-6.5
CCCCCN,128,0.7059855699539185,0.999737149477005,-3.9,-4.0
Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,130,0.8903103977441787,0.973584097623825,-8.2,-8.5
NCc1ccc(Cl)cc1,134,0.9431965589523316,0.8622271478176117,-5.2,-5.4
CC1CNCC(C)O1,135,0.7035517662763595,0.9998249530792236,-4.3,-4.3
NNC(=O)c1cccc([N+](=O)[O-])c1,137,0.0711470652371644,0.7351002931594849,-5.9,-6.4
Nc1nncs1,142,0.2211223140358925,0.9417127370834352,-3.5,-3.5
CCN1CCNCC1,146,0.9927512764930724,0.9985165774822236,-4.2,-4.0
